Attribute,Commodity,CommodityType,Units,YearType,Year,Value
Exports,Pork,Livestock/Dairy,Million pounds,Calendar year,2026/27,6650
Exports,Pork,Livestock/Dairy,Million pounds,Calendar year,2027/28,6710
Exports,Pork,Livestock/Dairy,Million pounds,Calendar year,2028/29,6800
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2017/18,71545
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2018/19,73445
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2019/20,75750
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2020/21,75650
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2021/22,76003
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2022/23,76475
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2023/24,76886
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2024/25,77124
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2025/26,77479
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2026/27,77986
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2027/28,78397
"Hog, inventory Dec.1, previous year",Pork,Livestock/Dairy,Thousand head,Calendar year,2028/29,78957
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2017/18,53.6
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2018/19,48.61
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2019/20,49.26
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2020/21,45.21
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2021/22,47.07
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2022/23,47.4
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2023/24,47.12
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2024/25,47.19
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2025/26,47.25
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2026/27,46.88
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2027/28,46.82
"Hogs, farm",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2028/29,46.42
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2017/18,1116
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2018/19,1064
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2019/20,1060
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2020/21,1070
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2021/22,1080
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2022/23,1090
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2023/24,1100
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2024/25,1110
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2025/26,1120
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2026/27,1130
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2027/28,1140
Imports,Pork,Livestock/Dairy,Million pounds,Calendar year,2028/29,1150
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2017/18,50.48
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2018/19,45.23
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2019/20,41.25
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2020/21,43.06
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2021/22,44.83
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2022/23,45.14
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2023/24,44.87
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2024/25,44.94
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2025/26,45
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2026/27,44.65
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2027/28,44.59
"National base, live eqv",Pork,Livestock/Dairy,Dollars per cwt.,Calendar year,2028/29,44.21
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2017/18,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2018/19,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2019/20,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2020/21,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2021/22,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2022/23,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2023/24,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2024/25,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2025/26,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2026/27,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2027/28,14
"Production, farm",Pork,Livestock/Dairy,Million pounds,Calendar year,2028/29,14
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2017/18,27221
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2018/19,28057
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2019/20,29434
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2020/21,29912
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2021/22,30158
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2022/23,30483
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2023/24,30768
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2024/25,30944
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2025/26,31197
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2026/27,31550
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2027/28,31840
Supply total,Pork,Livestock/Dairy,Million pounds,Calendar year,2028/29,32227
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2017/18,21035
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2018/19,21518
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2019/20,22649
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2020/21,22972
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2021/22,23183
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2022/23,23483
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2023/24,23708
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2024/25,23824
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2025/26,23992
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2026/27,24260
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2027/28,24480
Total disappearance,Pork,Livestock/Dairy,Million pounds,Calendar year,2028/29,24767
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2017/18,25598
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2018/19,26439
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2019/20,27824
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2020/21,28257
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2021/22,28488
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2022/23,28798
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2023/24,29068
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2024/25,29224
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2025/26,29457
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2026/27,29790
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2027/28,30060
Total production,Pork,Livestock/Dairy,Million pounds,Calendar year,2028/29,30427
Beginning stocks,Rice,Crops,Million cwt.,Market year,2017/18,46
Beginning stocks,Rice,Crops,Million cwt.,Market year,2018/19,29.4
Beginning stocks,Rice,Crops,Million cwt.,Market year,2019/20,44.2
Beginning stocks,Rice,Crops,Million cwt.,Market year,2020/21,41.3
Beginning stocks,Rice,Crops,Million cwt.,Market year,2021/22,39.3
Beginning stocks,Rice,Crops,Million cwt.,Market year,2022/23,38.8
Beginning stocks,Rice,Crops,Million cwt.,Market year,2023/24,40
Beginning stocks,Rice,Crops,Million cwt.,Market year,2024/25,41.1
Beginning stocks,Rice,Crops,Million cwt.,Market year,2025/26,41.3
Beginning stocks,Rice,Crops,Million cwt.,Market year,2026/27,41.4
Beginning stocks,Rice,Crops,Million cwt.,Market year,2027/28,41.1
Beginning stocks,Rice,Crops,Million cwt.,Market year,2028/29,41.2
Domestic,Rice,Crops,Million cwt.,Market year,2017/18,134.8
Domestic,Rice,Crops,Million cwt.,Market year,2018/19,133
Domestic,Rice,Crops,Million cwt.,Market year,2019/20,134
Domestic,Rice,Crops,Million cwt.,Market year,2020/21,129
Domestic,Rice,Crops,Million cwt.,Market year,2021/22,129
Domestic,Rice,Crops,Million cwt.,Market year,2022/23,131
Domestic,Rice,Crops,Million cwt.,Market year,2023/24,132
Domestic,Rice,Crops,Million cwt.,Market year,2024/25,133.5
Domestic,Rice,Crops,Million cwt.,Market year,2025/26,134.5
Domestic,Rice,Crops,Million cwt.,Market year,2026/27,136.5
Domestic,Rice,Crops,Million cwt.,Market year,2027/28,137.5
Domestic,Rice,Crops,Million cwt.,Market year,2028/29,139
Ending stocks,Rice,Crops,Million cwt.,Market year,2017/18,29.4
Ending stocks,Rice,Crops,Million cwt.,Market year,2018/19,44.2
Ending stocks,Rice,Crops,Million cwt.,Market year,2019/20,41.3
Ending stocks,Rice,Crops,Million cwt.,Market year,2020/21,39.3
Ending stocks,Rice,Crops,Million cwt.,Market year,2021/22,38.8
Ending stocks,Rice,Crops,Million cwt.,Market year,2022/23,40
Ending stocks,Rice,Crops,Million cwt.,Market year,2023/24,41.1
Ending stocks,Rice,Crops,Million cwt.,Market year,2024/25,41.3
Ending stocks,Rice,Crops,Million cwt.,Market year,2025/26,41.4
Ending stocks,Rice,Crops,Million cwt.,Market year,2026/27,41.1
Ending stocks,Rice,Crops,Million cwt.,Market year,2027/28,41.2
Ending stocks,Rice,Crops,Million cwt.,Market year,2028/29,41.3
Exports,Rice,Crops,Million cwt.,Market year,2017/18,87
Exports,Rice,Crops,Million cwt.,Market year,2018/19,98
Exports,Rice,Crops,Million cwt.,Market year,2019/20,104
Exports,Rice,Crops,Million cwt.,Market year,2020/21,102.5
Exports,Rice,Crops,Million cwt.,Market year,2021/22,102.5
Exports,Rice,Crops,Million cwt.,Market year,2022/23,104
Exports,Rice,Crops,Million cwt.,Market year,2023/24,104.5
Exports,Rice,Crops,Million cwt.,Market year,2024/25,105.5
Exports,Rice,Crops,Million cwt.,Market year,2025/26,106
Exports,Rice,Crops,Million cwt.,Market year,2026/27,106
Exports,Rice,Crops,Million cwt.,Market year,2027/28,106
Exports,Rice,Crops,Million cwt.,Market year,2028/29,106
Farm price,Rice,Crops,Dollars per cwt.,Market year,2017/18,12.6
Farm price,Rice,Crops,Dollars per cwt.,Market year,2018/19,11.7
Farm price,Rice,Crops,Dollars per cwt.,Market year,2019/20,11.9
Farm price,Rice,Crops,Dollars per cwt.,Market year,2020/21,12
Farm price,Rice,Crops,Dollars per cwt.,Market year,2021/22,12.1
Farm price,Rice,Crops,Dollars per cwt.,Market year,2022/23,12.2
Farm price,Rice,Crops,Dollars per cwt.,Market year,2023/24,12.4
Farm price,Rice,Crops,Dollars per cwt.,Market year,2024/25,12.5
Farm price,Rice,Crops,Dollars per cwt.,Market year,2025/26,12.6
Farm price,Rice,Crops,Dollars per cwt.,Market year,2026/27,12.7
Farm price,Rice,Crops,Dollars per cwt.,Market year,2027/28,12.8
Farm price,Rice,Crops,Dollars per cwt.,Market year,2028/29,12.9
Harvested acres,Rice,Crops,Thousand acres,Market year,2017/18,2374
Harvested acres,Rice,Crops,Thousand acres,Market year,2018/19,2902
Harvested acres,Rice,Crops,Thousand acres,Market year,2019/20,2687
Harvested acres,Rice,Crops,Thousand acres,Market year,2020/21,2593
Harvested acres,Rice,Crops,Thousand acres,Market year,2021/22,2593
Harvested acres,Rice,Crops,Thousand acres,Market year,2022/23,2643
Harvested acres,Rice,Crops,Thousand acres,Market year,2023/24,2643
Harvested acres,Rice,Crops,Thousand acres,Market year,2024/25,2643
Harvested acres,Rice,Crops,Thousand acres,Market year,2025/26,2643
Harvested acres,Rice,Crops,Thousand acres,Market year,2026/27,2643
Harvested acres,Rice,Crops,Thousand acres,Market year,2027/28,2643
Harvested acres,Rice,Crops,Thousand acres,Market year,2028/29,2643
Imports,Rice,Crops,Million cwt.,Market year,2017/18,26.9
Imports,Rice,Crops,Million cwt.,Market year,2018/19,27
Imports,Rice,Crops,Million cwt.,Market year,2019/20,27.6
Imports,Rice,Crops,Million cwt.,Market year,2020/21,28
Imports,Rice,Crops,Million cwt.,Market year,2021/22,28.5
Imports,Rice,Crops,Million cwt.,Market year,2022/23,28.9
Imports,Rice,Crops,Million cwt.,Market year,2023/24,29.3
Imports,Rice,Crops,Million cwt.,Market year,2024/25,29.8
Imports,Rice,Crops,Million cwt.,Market year,2025/26,30.2
Imports,Rice,Crops,Million cwt.,Market year,2026/27,30.7
Imports,Rice,Crops,Million cwt.,Market year,2027/28,31.1
Imports,Rice,Crops,Million cwt.,Market year,2028/29,31.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2017/18,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2018/19,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2019/20,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2020/21,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2021/22,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2022/23,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2023/24,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2024/25,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2025/26,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2026/27,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2027/28,6.5
Loan rate,Rice,Crops,Dollars per cwt.,Market year,2028/29,6.5
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2017/18,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2018/19,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2019/20,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2020/21,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2021/22,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2022/23,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2023/24,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2024/25,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2025/26,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2026/27,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2027/28,70
"Milling rate, percent",Rice,Crops,Million cwt.,Market year,2028/29,70
Planted acres,Rice,Crops,Thousand acres,Market year,2017/18,2463
Planted acres,Rice,Crops,Thousand acres,Market year,2018/19,2943
Planted acres,Rice,Crops,Thousand acres,Market year,2019/20,2720
Planted acres,Rice,Crops,Thousand acres,Market year,2020/21,2625
Planted acres,Rice,Crops,Thousand acres,Market year,2021/22,2625
Planted acres,Rice,Crops,Thousand acres,Market year,2022/23,2675
Planted acres,Rice,Crops,Thousand acres,Market year,2023/24,2675
Planted acres,Rice,Crops,Thousand acres,Market year,2024/25,2675
Planted acres,Rice,Crops,Thousand acres,Market year,2025/26,2675
Planted acres,Rice,Crops,Thousand acres,Market year,2026/27,2675
Planted acres,Rice,Crops,Thousand acres,Market year,2027/28,2675
Planted acres,Rice,Crops,Thousand acres,Market year,2028/29,2675
Production,Rice,Crops,Million cwt.,Market year,2017/18,178.2
Production,Rice,Crops,Million cwt.,Market year,2018/19,218.8
Production,Rice,Crops,Million cwt.,Market year,2019/20,207.5
Production,Rice,Crops,Million cwt.,Market year,2020/21,201.5
Production,Rice,Crops,Million cwt.,Market year,2021/22,202.5
Production,Rice,Crops,Million cwt.,Market year,2022/23,207.3
Production,Rice,Crops,Million cwt.,Market year,2023/24,208.3
Production,Rice,Crops,Million cwt.,Market year,2024/25,209.4
Production,Rice,Crops,Million cwt.,Market year,2025/26,210.4
Production,Rice,Crops,Million cwt.,Market year,2026/27,211.5
Production,Rice,Crops,Million cwt.,Market year,2027/28,212.5
Production,Rice,Crops,Million cwt.,Market year,2028/29,213.6
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2017/18,380
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2018/19,304
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2019/20,333
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2020/21,338
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2021/22,346
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2022/23,351
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2023/24,363
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2024/25,368
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2025/26,374
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2026/27,382
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2027/28,389
Returns over variable costs (net returns),Rice,Crops,Dollars per acre,Market year,2028/29,396
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2017/18,13.2
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2018/19,19.1
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2019/20,17.3
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2020/21,17
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2021/22,16.8
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2022/23,17
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2023/24,17.4
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2024/25,17.3
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2025/26,17.2
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2026/27,17
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2027/28,16.9
"Stocks/use ratio, percent",Rice,Crops,Percent,Market year,2028/29,16.9
Supply total,Rice,Crops,Million cwt.,Market year,2017/18,251.2
Supply total,Rice,Crops,Million cwt.,Market year,2018/19,275.2
Supply total,Rice,Crops,Million cwt.,Market year,2019/20,279.3
Supply total,Rice,Crops,Million cwt.,Market year,2020/21,270.8
Supply total,Rice,Crops,Million cwt.,Market year,2021/22,270.3
Supply total,Rice,Crops,Million cwt.,Market year,2022/23,275
Supply total,Rice,Crops,Million cwt.,Market year,2023/24,277.6
Supply total,Rice,Crops,Million cwt.,Market year,2024/25,280.3
Supply total,Rice,Crops,Million cwt.,Market year,2025/26,281.9
Supply total,Rice,Crops,Million cwt.,Market year,2026/27,283.6
Supply total,Rice,Crops,Million cwt.,Market year,2027/28,284.7
Supply total,Rice,Crops,Million cwt.,Market year,2028/29,286.3
Total use/disposition,Rice,Crops,Million cwt.,Market year,2017/18,221.8
Total use/disposition,Rice,Crops,Million cwt.,Market year,2018/19,231
Total use/disposition,Rice,Crops,Million cwt.,Market year,2019/20,238
Total use/disposition,Rice,Crops,Million cwt.,Market year,2020/21,231.5
Total use/disposition,Rice,Crops,Million cwt.,Market year,2021/22,231.5
Total use/disposition,Rice,Crops,Million cwt.,Market year,2022/23,235
Total use/disposition,Rice,Crops,Million cwt.,Market year,2023/24,236.5
Total use/disposition,Rice,Crops,Million cwt.,Market year,2024/25,239
Total use/disposition,Rice,Crops,Million cwt.,Market year,2025/26,240.5
Total use/disposition,Rice,Crops,Million cwt.,Market year,2026/27,242.5
Total use/disposition,Rice,Crops,Million cwt.,Market year,2027/28,243.5
Total use/disposition,Rice,Crops,Million cwt.,Market year,2028/29,245
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2017/18,566
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2018/19,578
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2019/20,586
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2020/21,594
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2021/22,599
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2022/23,606
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2023/24,614
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2024/25,622
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2025/26,629
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2026/27,634
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2027/28,640
Variable cost of production (per acre),Rice,Crops,Dollars,Market year,2028/29,647
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2017/18,7.54
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2018/19,7.67
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2019/20,7.59
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2020/21,7.64
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2021/22,7.67
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2022/23,7.73
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2023/24,7.79
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2024/25,7.85
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2025/26,7.9
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2026/27,7.92
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2027/28,7.96
Variable cost of production (per cwt.),Rice,Crops,Dollars,Market year,2028/29,8.01
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2017/18,7507
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2018/19,7539
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2019/20,7722
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2020/21,7771
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2021/22,7809
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2022/23,7843
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2023/24,7881
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2024/25,7923
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2025/26,7961
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2026/27,8002
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2027/28,8040
Yield/harvested acre,Rice,Crops,Pounds per acre,Market year,2028/29,8082
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2017/18,33
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2018/19,35
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2019/20,37
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2020/21,29
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2021/22,26
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2022/23,24
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2023/24,27
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2024/25,25
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2025/26,28
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2026/27,28
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2027/28,28
Beginning stocks,Sorghum,Crops,Million bushels,Market year,2028/29,28
Domestic,Sorghum,Crops,Million bushels,Market year,2017/18,159
Domestic,Sorghum,Crops,Million bushels,Market year,2018/19,230
Domestic,Sorghum,Crops,Million bushels,Market year,2019/20,195
Domestic,Sorghum,Crops,Million bushels,Market year,2020/21,190
Domestic,Sorghum,Crops,Million bushels,Market year,2021/22,195
Domestic,Sorghum,Crops,Million bushels,Market year,2022/23,190
Domestic,Sorghum,Crops,Million bushels,Market year,2023/24,195
Domestic,Sorghum,Crops,Million bushels,Market year,2024/25,190
Domestic,Sorghum,Crops,Million bushels,Market year,2025/26,200
Domestic,Sorghum,Crops,Million bushels,Market year,2026/27,200
Domestic,Sorghum,Crops,Million bushels,Market year,2027/28,200
Domestic,Sorghum,Crops,Million bushels,Market year,2028/29,200
Ending stocks,Sorghum,Crops,Million bushels,Market year,2017/18,35
Ending stocks,Sorghum,Crops,Million bushels,Market year,2018/19,37
Ending stocks,Sorghum,Crops,Million bushels,Market year,2019/20,29
Ending stocks,Sorghum,Crops,Million bushels,Market year,2020/21,26
Ending stocks,Sorghum,Crops,Million bushels,Market year,2021/22,24
Ending stocks,Sorghum,Crops,Million bushels,Market year,2022/23,27
Ending stocks,Sorghum,Crops,Million bushels,Market year,2023/24,25
Ending stocks,Sorghum,Crops,Million bushels,Market year,2024/25,28
Ending stocks,Sorghum,Crops,Million bushels,Market year,2025/26,28
Ending stocks,Sorghum,Crops,Million bushels,Market year,2026/27,28
Ending stocks,Sorghum,Crops,Million bushels,Market year,2027/28,28
Ending stocks,Sorghum,Crops,Million bushels,Market year,2028/29,28
Exports,Sorghum,Crops,Million bushels,Market year,2017/18,205
Exports,Sorghum,Crops,Million bushels,Market year,2018/19,150
Exports,Sorghum,Crops,Million bushels,Market year,2019/20,150
Exports,Sorghum,Crops,Million bushels,Market year,2020/21,150
Exports,Sorghum,Crops,Million bushels,Market year,2021/22,150
Exports,Sorghum,Crops,Million bushels,Market year,2022/23,150
Exports,Sorghum,Crops,Million bushels,Market year,2023/24,150
Exports,Sorghum,Crops,Million bushels,Market year,2024/25,150
Exports,Sorghum,Crops,Million bushels,Market year,2025/26,150
Exports,Sorghum,Crops,Million bushels,Market year,2026/27,150
Exports,Sorghum,Crops,Million bushels,Market year,2027/28,150
Exports,Sorghum,Crops,Million bushels,Market year,2028/29,150
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2017/18,3.22
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2018/19,3.3
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2019/20,3.65
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2020/21,3.7
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2021/22,3.75
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2022/23,3.85
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2023/24,3.7
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2024/25,3.55
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2025/26,3.5
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2026/27,3.4
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2027/28,3.4
Farm price,Sorghum,Crops,Dollars per bushel,Market year,2028/29,3.4
Feed & residual,Sorghum,Crops,Million bushels,Market year,2017/18,100
Feed & residual,Sorghum,Crops,Million bushels,Market year,2018/19,105
Feed & residual,Sorghum,Crops,Million bushels,Market year,2019/20,95
