,Commodity,CommodityType,YearType,Year,Beginning stocks,Domestic,Ending stocks,Exports,Farm price,Feed & residual,"Food, seed, & industrial",Harvested acres,Imports,Loan rate,Planted acres,Production,Returns over variable costs (net returns),"Stocks/use ratio, percent",Supply total,Total use/disposition,Variable cost of production (per acre),Variable cost of production (per bushel),Yield/harvested acre,"Beef cattle, farm",Beef cow inventory,"Calves, farm",Cattle inventory,Commercial production,"Feeder steers, Okla. City","Production, farm","Steers, 5-area, all grades",Total cow inventory,Total disappearance,Total production,"Broilers, farm",Disappearance,Federally inspected slaughter,National composite price,Ethanol for fuel,Commercial use: Milkfat basis,Commercial use: Skim solids,Milk per cow,Milk production,Number of cows,Prices: All milk,"Eggs, farm",Hatching use,"New York, Grade A large",Per capita,Retail weight: Broilers,Retail weight: Lamb & mutton,Retail weight: Other chicken,Retail weight: Red meat & poultry,Retail weight: Total beef,Retail weight: Total pork,Retail weight: Total poultry,Retail weight: Total red meat,Retail weight: Total veal,Retail weight: Turkeys,"Hog, inventory Dec.1, previous year","Hogs, farm","National base, live eqv","Milling rate, percent",Variable cost of production (per cwt.),Crushing yields,Prices,Total demand,"Soybean oil, for methyl ester",Crush,Crush margin,Seed & residual,"Hen turkeys, National","Turkey, farm",Variable cost of production (per pound),Food,Seed
147,Soybean oil,Crops,Market year,2020/21,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
148,Soybean oil,Crops,Market year,2021/22,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
149,Soybean oil,Crops,Market year,2022/23,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
150,Soybean oil,Crops,Market year,2023/24,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
151,Soybean oil,Crops,Market year,2024/25,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
152,Soybean oil,Crops,Market year,2025/26,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
153,Soybean oil,Crops,Market year,2026/27,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
154,Soybean oil,Crops,Market year,2027/28,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
155,Soybean oil,Crops,Market year,2028/29,Million pounds,Million pounds,Million pounds,Million pounds,,,,,Million pounds,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pounds per bushel,Dollars per pound,Million pounds,Million pounds,,,,,,,,
156,Soybeans,Crops,Market year,2017/18,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
157,Soybeans,Crops,Market year,2018/19,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
158,Soybeans,Crops,Market year,2019/20,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
159,Soybeans,Crops,Market year,2020/21,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
160,Soybeans,Crops,Market year,2021/22,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
161,Soybeans,Crops,Market year,2022/23,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
162,Soybeans,Crops,Market year,2023/24,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
163,Soybeans,Crops,Market year,2024/25,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
164,Soybeans,Crops,Market year,2025/26,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
165,Soybeans,Crops,Market year,2026/27,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
166,Soybeans,Crops,Market year,2027/28,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
167,Soybeans,Crops,Market year,2028/29,Million bushels,,Million bushels,Million bushels,Dollars per bushel,,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Dollars per bushel,Million bushels,,,,,
168,Turkey,Livestock/Dairy,Calendar year,2017/18,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
169,Turkey,Livestock/Dairy,Calendar year,2018/19,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
170,Turkey,Livestock/Dairy,Calendar year,2019/20,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
171,Turkey,Livestock/Dairy,Calendar year,2020/21,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
172,Turkey,Livestock/Dairy,Calendar year,2021/22,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
173,Turkey,Livestock/Dairy,Calendar year,2022/23,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
174,Turkey,Livestock/Dairy,Calendar year,2023/24,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
175,Turkey,Livestock/Dairy,Calendar year,2024/25,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
176,Turkey,Livestock/Dairy,Calendar year,2025/26,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
177,Turkey,Livestock/Dairy,Calendar year,2026/27,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
178,Turkey,Livestock/Dairy,Calendar year,2027/28,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
179,Turkey,Livestock/Dairy,Calendar year,2028/29,Million pounds,,Million pounds,Million pounds,,,,,,,,Million pounds,,,Million pounds,,,,,,,,,,,,,,,,,Million pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cents per pound,Cents per pound,,,
180,Upland Cotton,Crops,Market year,2017/18,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
181,Upland Cotton,Crops,Market year,2018/19,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
182,Upland Cotton,Crops,Market year,2019/20,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
183,Upland Cotton,Crops,Market year,2020/21,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
184,Upland Cotton,Crops,Market year,2021/22,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
185,Upland Cotton,Crops,Market year,2022/23,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
186,Upland Cotton,Crops,Market year,2023/24,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
187,Upland Cotton,Crops,Market year,2024/25,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
188,Upland Cotton,Crops,Market year,2025/26,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
189,Upland Cotton,Crops,Market year,2026/27,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
190,Upland Cotton,Crops,Market year,2027/28,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
191,Upland Cotton,Crops,Market year,2028/29,Thousand bales,Thousand bales,Thousand bales,Thousand bales,Dollars per pound,,,Million acres,Thousand bales,Dollars per pound,Million acres,Thousand bales,Dollars per acre,Percent,Thousand bales,Thousand bales,Dollars,,Pounds per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dollars,,
192,Wheat,Crops,Market year,2017/18,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
193,Wheat,Crops,Market year,2018/19,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
194,Wheat,Crops,Market year,2019/20,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
195,Wheat,Crops,Market year,2020/21,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
196,Wheat,Crops,Market year,2021/22,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
197,Wheat,Crops,Market year,2022/23,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
198,Wheat,Crops,Market year,2023/24,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
199,Wheat,Crops,Market year,2024/25,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
200,Wheat,Crops,Market year,2025/26,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
201,Wheat,Crops,Market year,2026/27,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
202,Wheat,Crops,Market year,2027/28,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
203,Wheat,Crops,Market year,2028/29,Million bushels,Million bushels,Million bushels,Million bushels,Dollars per bushel,Million bushels,,Million acres,Million bushels,Dollars per bushel,Million acres,Million bushels,Dollars per acre,Percent,Million bushels,Million bushels,Dollars,Dollars,Bushels per acre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million bushels,Million bushels
